,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1687,1687,minusválido,minusválido,sing,2,default,4.20531359850429e-05,plural,plural,son,s,[MASK] minusválido [MASK],"[CLS] , [MASK] , minusvá , ##lido , [MASK] , [SEP]",non_morphemic,10.076576596798308,2.5182261642388317,-2.518226164238754
1689,1689,minusválido,minusválidos,plur,2,default,0.0002446040452923,plural,plural,son,s,[MASK] minusválidos [MASK],"[CLS] , [MASK] , minusvá , ##lidos , [MASK] , [SEP]",non_morphemic,8.315869796449094,-0.6971150489590219,0.6971150489591813
1691,1691,minusválido,minusválido##s,plur,3,artificial,0.0003458828432485,plural,plural,son,s,[MASK] minusválido##s [MASK],"[CLS] , [MASK] , minusvá , ##lido , ##s , [MASK] , [SEP]",non_morphemic,7.969410443573502,-1.6035370320955638,1.60353703209543
1693,1693,cupo,cupo,sing,2,default,0.0002212326508015,plural,plural,son,s,[MASK] cupo [MASK],"[CLS] , [MASK] , cu , ##po , [MASK] , [SEP]",non_morphemic,8.416295691607129,2.583587638475154,-2.5835876384753305
1695,1695,cupo,cupos,plur,2,default,0.0051830383017659,plural,plural,son,s,[MASK] cupos [MASK],"[CLS] , [MASK] , cu , ##pos , [MASK] , [SEP]",non_morphemic,5.262363849918423,-1.6687884066369785,1.6687884066369936
1697,1697,cupo,cupo##s,plur,3,artificial,0.0058034397661685,plural,plural,son,s,[MASK] cupo##s [MASK],"[CLS] , [MASK] , cu , ##po , ##s , [MASK] , [SEP]",non_morphemic,5.149304474089687,-0.7533726887781986,0.7533726887781889
1699,1699,valenciano,valenciano,sing,2,default,0.0004718890413641,plural,plural,son,s,[MASK] valenciano [MASK],"[CLS] , [MASK] , valenci , ##ano , [MASK] , [SEP]",non_morphemic,7.658766681870313,2.047003690477272,-2.047003690477464
1701,1701,valenciano,valencianos,plur,2,default,0.0040022376924753,plural,plural,son,s,[MASK] valencianos [MASK],"[CLS] , [MASK] , valenci , ##anos , [MASK] , [SEP]",non_morphemic,5.520901651162196,-2.1051087597330955,2.1051087597331017
1703,1703,valenciano,valenciano##s,plur,3,artificial,0.0060029504820704,plural,plural,son,s,[MASK] valenciano##s [MASK],"[CLS] , [MASK] , valenci , ##ano , ##s , [MASK] , [SEP]",non_morphemic,5.11550418361028,-1.539473134591117,1.5394731345911312
1705,1705,destrozo,destrozo,sing,2,default,0.0013060108758509,plural,plural,son,s,[MASK] destrozo [MASK],"[CLS] , [MASK] , destro , ##zo , [MASK] , [SEP]",non_morphemic,6.640777920558501,2.2700266815438406,-2.270026681543845
1707,1707,destrozo,destrozos,plur,2,default,0.008469239808619,plural,plural,son,s,[MASK] destrozos [MASK],"[CLS] , [MASK] , destro , ##zos , [MASK] , [SEP]",non_morphemic,4.771314525394562,-1.9037680306167033,1.9037680306167055
1709,1709,destrozo,destrozo##s,plur,3,artificial,0.0054978025145828,plural,plural,son,s,[MASK] destrozo##s [MASK],"[CLS] , [MASK] , destro , ##zo , ##s , [MASK] , [SEP]",non_morphemic,5.203406809385318,-1.2767295465102428,1.276729546510251
1711,1711,postulado,postulado,sing,2,default,0.0005186516209505,plural,plural,son,s,[MASK] postulado [MASK],"[CLS] , [MASK] , postu , ##lado , [MASK] , [SEP]",non_morphemic,7.564278150764896,3.496751309765151,-3.496751309765243
1713,1713,postulado,postulados,plur,2,default,0.0266346428543329,plural,plural,son,s,[MASK] postulados [MASK],"[CLS] , [MASK] , postu , ##lados , [MASK] , [SEP]",non_morphemic,3.625542547588642,-3.538032498914959,3.5380324989150793
1715,1715,postulado,postulado##s,plur,3,artificial,0.0191207006573677,plural,plural,son,s,[MASK] postulado##s [MASK],"[CLS] , [MASK] , postu , ##lado , ##s , [MASK] , [SEP]",non_morphemic,3.9569837267704857,-2.8517522879194788,2.8517522879194988
1717,1717,economista,economista,sing,2,default,5.353227970772423e-05,plural,plural,son,s,[MASK] economista [MASK],"[CLS] , [MASK] , econom , ##ista , [MASK] , [SEP]",non_morphemic,9.835225726987304,3.809226035171422,-3.8092260351714073
1719,1719,economista,economistas,plur,2,default,0.0107920048758387,plural,plural,son,s,[MASK] economistas [MASK],"[CLS] , [MASK] , econom , ##istas , [MASK] , [SEP]",non_morphemic,4.528949708275565,-2.0403290447542872,2.040329044754318
1721,1721,economista,economista##s,plur,3,artificial,0.0062424526549875,plural,plural,son,s,[MASK] economista##s [MASK],"[CLS] , [MASK] , econom , ##ista , ##s , [MASK] , [SEP]",non_morphemic,5.0763821201422585,-0.46052845041791546,0.46052845041792234
1723,1723,inversionista,inversionista,sing,2,default,0.0001870844716904,plural,plural,son,s,[MASK] inversionista [MASK],"[CLS] , [MASK] , inversi , ##onista , [MASK] , [SEP]",non_morphemic,8.583950322834689,2.508480514575388,-2.5084805145757505
1725,1725,inversionista,inversionistas,plur,2,default,0.0044981590472161,plural,plural,son,s,[MASK] inversionistas [MASK],"[CLS] , [MASK] , inversi , ##onistas , [MASK] , [SEP]",non_morphemic,5.404087066528978,-2.907633829204766,2.9076338292050825
1727,1727,inversionista,inversionista##s,plur,3,artificial,0.0041588949970901,plural,plural,son,s,[MASK] inversionista##s [MASK],"[CLS] , [MASK] , inversi , ##onista , ##s , [MASK] , [SEP]",non_morphemic,5.482505865693215,-1.887710580297453,1.8877105802976115
1729,1729,tribuna,tribuna,sing,2,default,0.0004852587298955,plural,plural,son,s,[MASK] tribuna [MASK],"[CLS] , [MASK] , tribun , ##a , [MASK] , [SEP]",non_morphemic,7.630828345565747,2.3430308752414755,-2.343030875241624
1731,1731,tribuna,tribunas,plur,2,default,0.0058389441110193,plural,plural,son,s,[MASK] tribunas [MASK],"[CLS] , [MASK] , tribun , ##as , [MASK] , [SEP]",non_morphemic,5.143205301396459,-3.3073053095243656,3.3073053095247933
1733,1733,tribuna,tribuna##s,plur,3,artificial,0.0056450804695487,plural,plural,son,s,[MASK] tribuna##s [MASK],"[CLS] , [MASK] , tribun , ##a , ##s , [MASK] , [SEP]",non_morphemic,5.1769708264690575,-2.719166301095931,2.7191663010959566
1735,1735,yen,yen,sing,2,default,0.0011606240877881,plural,plural,son,es,[MASK] yen [MASK],"[CLS] , [MASK] , ye , ##n , [MASK] , [SEP]",non_morphemic,6.758797411823653,1.33624271986596,-1.3362427198659936
1737,1737,yen,yenes,plur,2,default,0.0105688022449612,plural,plural,son,es,[MASK] yenes [MASK],"[CLS] , [MASK] , ye , ##nes , [MASK] , [SEP]",non_morphemic,4.549848801986135,-1.0700210668139185,1.070021066813924
1739,1739,yen,yen##es,plur,3,artificial,0.0158415790647268,plural,plural,son,es,[MASK] yen##es [MASK],"[CLS] , [MASK] , ye , ##n , ##es , [MASK] , [SEP]",non_morphemic,4.145117209134694,-1.1891966124674358,1.1891966124674376
1741,1741,caldo,caldo,sing,2,default,0.0014187773922458,plural,plural,son,s,[MASK] caldo [MASK],"[CLS] , [MASK] , cal , ##do , [MASK] , [SEP]",non_morphemic,6.557959769611109,1.7765340112750305,-1.7765340112750456
1743,1743,caldo,caldos,plur,2,default,0.0132608190178871,plural,plural,son,s,[MASK] caldos [MASK],"[CLS] , [MASK] , cal , ##dos , [MASK] , [SEP]",non_morphemic,4.3229415300770295,-2.392861451777187,2.392861451777204
1745,1745,caldo,caldo##s,plur,3,artificial,0.0180018972605466,plural,plural,son,s,[MASK] caldo##s [MASK],"[CLS] , [MASK] , cal , ##do , ##s , [MASK] , [SEP]",non_morphemic,4.017278123276812,-2.5340605814505084,2.5340605814505306
1747,1747,cocinera,cocinera,sing,2,default,5.668241283274256e-05,plural,plural,son,s,[MASK] cocinera [MASK],"[CLS] , [MASK] , cocin , ##era , [MASK] , [SEP]",non_morphemic,9.778046574662833,3.072627939832844,-3.072627939832843
1749,1749,cocinera,cocineras,plur,2,default,0.003516674041748,plural,plural,son,s,[MASK] cocineras [MASK],"[CLS] , [MASK] , cocin , ##eras , [MASK] , [SEP]",non_morphemic,5.650239610550831,-2.8729095807401803,2.872909580740227
1751,1751,cocinera,cocinera##s,plur,3,artificial,0.0030290349386632,plural,plural,son,s,[MASK] cocinera##s [MASK],"[CLS] , [MASK] , cocin , ##era , ##s , [MASK] , [SEP]",non_morphemic,5.799511212284761,-2.1396747169270007,2.1396747169271544
1753,1753,bronca,bronca,sing,2,default,0.0008770596468821,plural,plural,son,s,[MASK] bronca [MASK],"[CLS] , [MASK] , bron , ##ca , [MASK] , [SEP]",non_morphemic,7.038935555496487,2.463256283516645,-2.4632562835166634
1755,1755,bronca,broncas,plur,2,default,0.0065835900604724,plural,plural,son,s,[MASK] broncas [MASK],"[CLS] , [MASK] , bron , ##cas , [MASK] , [SEP]",non_morphemic,5.023175080535994,-1.5307035753283307,1.530703575328361
1757,1757,bronca,bronca##s,plur,3,artificial,0.0062025082297623,plural,plural,son,s,[MASK] bronca##s [MASK],"[CLS] , [MASK] , bron , ##ca , ##s , [MASK] , [SEP]",non_morphemic,5.082801515553198,-0.8918990831446285,0.891899083144647
1759,1759,sumario,sumario,sing,2,default,0.0006144102080725,plural,plural,son,s,[MASK] sumario [MASK],"[CLS] , [MASK] , sumar , ##io , [MASK] , [SEP]",non_morphemic,7.394847761567478,2.9365797256936563,-2.9365797256936736
1761,1761,sumario,sumarios,plur,2,default,0.0054193455725908,plural,plural,son,s,[MASK] sumarios [MASK],"[CLS] , [MASK] , sumar , ##ios , [MASK] , [SEP]",non_morphemic,5.217780213885035,-1.8837075487516577,1.8837075487517592
1763,1763,sumario,sumario##s,plur,3,artificial,0.0100932251662015,plural,plural,son,s,[MASK] sumario##s [MASK],"[CLS] , [MASK] , sumar , ##io , ##s , [MASK] , [SEP]",non_morphemic,4.595890855829151,-2.1455331241315188,2.145533124131586
1765,1765,rechace,rechace,sing,2,default,0.0001322306634392,plural,plural,son,s,[MASK] rechace [MASK],"[CLS] , [MASK] , recha , ##ce , [MASK] , [SEP]",non_morphemic,8.930962710095425,1.8323565237340436,-1.8323565237343695
1767,1767,rechace,rechaces,plur,2,default,0.0010590796591714,plural,plural,son,s,[MASK] rechaces [MASK],"[CLS] , [MASK] , recha , ##ces , [MASK] , [SEP]",non_morphemic,6.850354994066809,-0.6716212996352491,0.6716212996352557
1769,1769,rechace,rechace##s,plur,3,artificial,0.005645484663546,plural,plural,son,s,[MASK] rechace##s [MASK],"[CLS] , [MASK] , recha , ##ce , ##s , [MASK] , [SEP]",non_morphemic,5.176899227927657,-0.2768965149823641,0.2768965149823607
1771,1771,partidista,partidista,sing,2,default,0.0001526585838291,plural,plural,son,s,[MASK] partidista [MASK],"[CLS] , [MASK] , partid , ##ista , [MASK] , [SEP]",non_morphemic,8.787306608270153,3.538218525448106,-3.5382185254486203
1773,1773,partidista,partidistas,plur,2,default,0.0024360548704862,plural,plural,son,s,[MASK] partidistas [MASK],"[CLS] , [MASK] , partid , ##istas , [MASK] , [SEP]",non_morphemic,6.017375404558011,-1.781168009499348,1.7811680094995341
1775,1775,partidista,partidista##s,plur,3,artificial,0.0041219349950551,plural,plural,son,s,[MASK] partidista##s [MASK],"[CLS] , [MASK] , partid , ##ista , ##s , [MASK] , [SEP]",non_morphemic,5.491432566881987,-1.0348152803398918,1.0348152803399209
1777,1777,peleador,peleador,sing,2,default,0.0002446308499202,plural,plural,son,es,[MASK] peleador [MASK],"[CLS] , [MASK] , pelea , ##dor , [MASK] , [SEP]",non_morphemic,8.315760218705806,2.87221822268707,-2.8722182226871213
1779,1779,peleador,peleadores,plur,2,default,0.0050629880279302,plural,plural,son,es,[MASK] peleadores [MASK],"[CLS] , [MASK] , pelea , ##dores , [MASK] , [SEP]",non_morphemic,5.2857984506169,-3.40450437443849,3.4045043744387593
1781,1781,peleador,peleador##es,plur,3,artificial,0.0205022953450679,plural,plural,son,es,[MASK] peleador##es [MASK],"[CLS] , [MASK] , pelea , ##dor , ##es , [MASK] , [SEP]",non_morphemic,3.8872184310536326,-3.008055204997529,3.0080552049975413
1783,1783,insurgente,insurgente,sing,2,default,0.0002104474551742,plural,plural,son,s,[MASK] insurgente [MASK],"[CLS] , [MASK] , insur , ##gente , [MASK] , [SEP]",non_morphemic,8.466274555126391,2.984969268303553,-2.9849692683039732
1785,1785,insurgente,insurgentes,plur,2,default,0.0054119806736707,plural,plural,son,s,[MASK] insurgentes [MASK],"[CLS] , [MASK] , insur , ##gentes , [MASK] , [SEP]",non_morphemic,5.219140139694242,-2.322727304483995,2.322727304484053
1787,1787,insurgente,insurgente##s,plur,3,artificial,0.0051107183098793,plural,plural,son,s,[MASK] insurgente##s [MASK],"[CLS] , [MASK] , insur , ##gente , ##s , [MASK] , [SEP]",non_morphemic,5.276415315197479,-1.4243497921603447,1.4243497921603896
1789,1789,paramilitar,paramilitar,sing,2,default,0.0004270822391845,plural,plural,son,es,[MASK] paramilitar [MASK],"[CLS] , [MASK] , paramili , ##tar , [MASK] , [SEP]",non_morphemic,7.758533965658343,2.9053421673571282,-2.9053421673571833
1791,1791,paramilitar,paramilitares,plur,2,default,0.0050772945396602,plural,plural,son,es,[MASK] paramilitares [MASK],"[CLS] , [MASK] , paramili , ##tares , [MASK] , [SEP]",non_morphemic,5.282976730191046,-2.198231730707871,2.1982317307080432
1793,1793,paramilitar,paramilitar##es,plur,3,artificial,0.0126559641212224,plural,plural,son,es,[MASK] paramilitar##es [MASK],"[CLS] , [MASK] , paramili , ##tar , ##es , [MASK] , [SEP]",non_morphemic,4.3696267028832265,-3.2765835673806327,3.276583567380741
1795,1795,eliminatoria,eliminatoria,sing,2,default,3.0750903533771634e-05,plural,plural,son,s,[MASK] eliminatoria [MASK],"[CLS] , [MASK] , elimina , ##toria , [MASK] , [SEP]",non_morphemic,10.38959118093134,2.4842896972707758,-2.484289697270537
1797,1797,eliminatoria,eliminatorias,plur,2,default,0.0006108777597546,plural,plural,son,s,[MASK] eliminatorias [MASK],"[CLS] , [MASK] , elimina , ##torias , [MASK] , [SEP]",non_morphemic,7.400613684676514,-2.4464926594753775,2.446492659475284
1799,1799,eliminatoria,eliminatoria##s,plur,3,artificial,0.000487493321998,plural,plural,son,s,[MASK] eliminatoria##s [MASK],"[CLS] , [MASK] , elimina , ##toria , ##s , [MASK] , [SEP]",non_morphemic,7.626233966085746,-1.7280374702814782,1.7280374702813859
1801,1801,salvadoreño,salvadoreño,sing,2,default,0.0003318917297292,plural,plural,son,s,[MASK] salvadoreño [MASK],"[CLS] , [MASK] , salvador , ##eño , [MASK] , [SEP]",non_morphemic,8.010701757508278,2.170565600412358,-2.1705656004125085
1803,1803,salvadoreño,salvadoreños,plur,2,default,0.0082278996706008,plural,plural,son,s,[MASK] salvadoreños [MASK],"[CLS] , [MASK] , salvador , ##eños , [MASK] , [SEP]",non_morphemic,4.800224500921471,-3.9392129084841097,3.9392129084841874
1805,1805,salvadoreño,salvadoreño##s,plur,3,artificial,0.0046141454949975,plural,plural,son,s,[MASK] salvadoreño##s [MASK],"[CLS] , [MASK] , salvador , ##eño , ##s , [MASK] , [SEP]",non_morphemic,5.378628586351604,-4.08130560503936,4.08130560503936
1807,1807,derbi,derbi,sing,2,default,0.0002777722256723,plural,plural,son,s,[MASK] derbi [MASK],"[CLS] , [MASK] , der , ##bi , [MASK] , [SEP]",non_morphemic,8.18870911222339,2.8916420800764095,-2.891642080076678
1809,1809,derbi,derbis,plur,2,default,0.0002930980117525,plural,plural,son,s,[MASK] derbis [MASK],"[CLS] , [MASK] , der , ##bis , [MASK] , [SEP]",non_morphemic,8.13500349378258,1.182197575269468,-1.1821975752697265
1811,1811,derbi,derbi##s,plur,3,artificial,0.001317058224231,plural,plural,son,s,[MASK] derbi##s [MASK],"[CLS] , [MASK] , der , ##bi , ##s , [MASK] , [SEP]",non_morphemic,6.632354647455615,0.900663315984116,-0.900663315984118
1813,1813,aliciente,aliciente,sing,2,default,0.0006630905554629,plural,plural,son,s,[MASK] aliciente [MASK],"[CLS] , [MASK] , ali , ##ciente , [MASK] , [SEP]",non_morphemic,7.318598992696486,2.3002428993515416,-2.300242899351663
1815,1815,aliciente,alicientes,plur,2,default,0.0073999399319291,plural,plural,son,s,[MASK] alicientes [MASK],"[CLS] , [MASK] , ali , ##cientes , [MASK] , [SEP]",non_morphemic,4.906283396111835,-2.7111945241905415,2.7111945241907343
1817,1817,aliciente,aliciente##s,plur,3,artificial,0.003349652281031,plural,plural,son,s,[MASK] aliciente##s [MASK],"[CLS] , [MASK] , ali , ##ciente , ##s , [MASK] , [SEP]",non_morphemic,5.698898735239573,-1.4028563351045396,1.4028563351045995
1819,1819,sobresalto,sobresalto,sing,2,default,0.0004622030537575,plural,plural,son,s,[MASK] sobresalto [MASK],"[CLS] , [MASK] , sobresal , ##to , [MASK] , [SEP]",non_morphemic,7.679506253141172,1.7678265536952562,-1.7678265536953401
1821,1821,sobresalto,sobresaltos,plur,2,default,0.0027988902293145,plural,plural,son,s,[MASK] sobresaltos [MASK],"[CLS] , [MASK] , sobresal , ##tos , [MASK] , [SEP]",non_morphemic,5.878532287040451,-1.6675459086944473,1.6675459086944642
1823,1823,sobresalto,sobresalto##s,plur,3,artificial,0.0020232074894011,plural,plural,son,s,[MASK] sobresalto##s [MASK],"[CLS] , [MASK] , sobresal , ##to , ##s , [MASK] , [SEP]",non_morphemic,6.203071160855237,-1.2040041641076504,1.20400416410767
1825,1825,diana,diana,sing,2,default,0.0003961167240049,plural,plural,son,s,[MASK] diana [MASK],"[CLS] , [MASK] , dia , ##na , [MASK] , [SEP]",non_morphemic,7.833801632553971,3.0988149273860452,-3.09881492738621
1827,1827,diana,dianas,plur,2,default,0.0084551479667425,plural,plural,son,s,[MASK] dianas [MASK],"[CLS] , [MASK] , dia , ##nas , [MASK] , [SEP]",non_morphemic,4.772979796282949,-1.4966497670621095,1.4966497670621388
1829,1829,diana,diana##s,plur,3,artificial,0.0080300904810428,plural,plural,son,s,[MASK] diana##s [MASK],"[CLS] , [MASK] , dia , ##na , ##s , [MASK] , [SEP]",non_morphemic,4.824559483211125,-1.3374147534593401,1.3374147534593708
1831,1831,goleador,goleador,sing,2,default,0.0001921094226418,plural,plural,son,es,[MASK] goleador [MASK],"[CLS] , [MASK] , gole , ##ador , [MASK] , [SEP]",non_morphemic,8.557445438680547,1.9026503761375126,-1.9026503761375224
1833,1833,goleador,goleadores,plur,2,default,0.0020463757682591,plural,plural,son,es,[MASK] goleadores [MASK],"[CLS] , [MASK] , gole , ##adores , [MASK] , [SEP]",non_morphemic,6.191684968365409,-3.663266079202459,3.663266079202425
1835,1835,goleador,goleador##es,plur,3,artificial,0.0061823674477636,plural,plural,son,es,[MASK] goleador##es [MASK],"[CLS] , [MASK] , gole , ##ador , ##es , [MASK] , [SEP]",non_morphemic,5.086053998707367,-3.869776653665591,3.869776653665819
1837,1837,ecuatoriano,ecuatoriano,sing,2,default,0.0002134174574166,plural,plural,son,s,[MASK] ecuatoriano [MASK],"[CLS] , [MASK] , ecuatori , ##ano , [MASK] , [SEP]",non_morphemic,8.452260416366391,2.267973900010049,-2.2679739000102876
1839,1839,ecuatoriano,ecuatorianos,plur,2,default,0.0050902632065117,plural,plural,son,s,[MASK] ecuatorianos [MASK],"[CLS] , [MASK] , ecuatori , ##anos , [MASK] , [SEP]",non_morphemic,5.280425739243537,-3.353871314859381,3.3538713148596364
1841,1841,ecuatoriano,ecuatoriano##s,plur,3,artificial,0.0042779953218996,plural,plural,son,s,[MASK] ecuatoriano##s [MASK],"[CLS] , [MASK] , ecuatori , ##ano , ##s , [MASK] , [SEP]",non_morphemic,5.454270761847614,-3.2900394688011527,3.290039468801597
1843,1843,hinchada,hinchada,sing,2,default,0.000315053097438,plural,plural,son,s,[MASK] hinchada [MASK],"[CLS] , [MASK] , hincha , ##da , [MASK] , [SEP]",non_morphemic,8.062769370048386,2.433227606395442,-2.4332276063956426
1845,1845,hinchada,hinchadas,plur,2,default,0.0027171247638761,plural,plural,son,s,[MASK] hinchadas [MASK],"[CLS] , [MASK] , hincha , ##das , [MASK] , [SEP]",non_morphemic,5.908181029873323,-1.9430227953508705,1.9430227953509276
1847,1847,hinchada,hinchada##s,plur,3,artificial,0.005568501073867,plural,plural,son,s,[MASK] hinchada##s [MASK],"[CLS] , [MASK] , hincha , ##da , ##s , [MASK] , [SEP]",non_morphemic,5.190629368284396,-1.6648894035659332,1.6648894035659942
1849,1849,ansia,ansia,sing,2,default,0.0004551975871436,plural,plural,son,s,[MASK] ansia [MASK],"[CLS] , [MASK] , ansi , ##a , [MASK] , [SEP]",non_morphemic,7.694778975817278,2.6992702336321637,-2.699270233632217
1851,1851,ansia,ansias,plur,2,default,0.0065561821684241,plural,plural,son,s,[MASK] ansias [MASK],"[CLS] , [MASK] , ansi , ##as , [MASK] , [SEP]",non_morphemic,5.027346831966743,-1.9749842276332865,1.9749842276333842
1853,1853,ansia,ansia##s,plur,3,artificial,0.0051157251000404,plural,plural,son,s,[MASK] ansia##s [MASK],"[CLS] , [MASK] , ansi , ##a , ##s , [MASK] , [SEP]",non_morphemic,5.275436130086784,-1.0499430266363214,1.049943026636341
1855,1855,paño,paño,sing,2,default,0.0006975232972763,plural,plural,son,s,[MASK] paño [MASK],"[CLS] , [MASK] , pañ , ##o , [MASK] , [SEP]",non_morphemic,7.267974643713514,2.338317483346879,-2.338317483346944
1857,1857,paño,paños,plur,2,default,0.0074224662967026,plural,plural,son,s,[MASK] paños [MASK],"[CLS] , [MASK] , pañ , ##os , [MASK] , [SEP]",non_morphemic,4.903243892030151,-1.1205511408761915,1.1205511408762068
1859,1859,paño,paño##s,plur,3,artificial,0.0063490094617009,plural,plural,son,s,[MASK] paño##s [MASK],"[CLS] , [MASK] , pañ , ##o , ##s , [MASK] , [SEP]",non_morphemic,5.059456468528607,-0.9309091855037464,0.9309091855037537
1861,1861,rotativo,rotativo,sing,2,default,5.343503653421067e-05,plural,plural,son,s,[MASK] rotativo [MASK],"[CLS] , [MASK] , rota , ##tivo , [MASK] , [SEP]",non_morphemic,9.837043912274526,2.1665749316814393,-2.166574931681253
1863,1863,rotativo,rotativos,plur,2,default,0.0004723544698208,plural,plural,son,s,[MASK] rotativos [MASK],"[CLS] , [MASK] , rota , ##tivos , [MASK] , [SEP]",non_morphemic,7.657780858851473,-1.6548914194519861,1.6548914194518667
1865,1865,rotativo,rotativo##s,plur,3,artificial,0.0003713385376613,plural,plural,son,s,[MASK] rotativo##s [MASK],"[CLS] , [MASK] , rota , ##tivo , ##s , [MASK] , [SEP]",non_morphemic,7.898396410997338,-1.3139906233157932,1.313990623315636
1867,1867,constitucionalista,constitucionalista,sing,2,default,3.605337769840844e-05,plural,plural,son,s,[MASK] constitucionalista [MASK],"[CLS] , [MASK] , constitucional , ##ista , [MASK] , [SEP]",non_morphemic,10.230510003798312,3.1193452293843533,-3.1193452293843116
1869,1869,constitucionalista,constitucionalistas,plur,2,default,0.0015007411129772,plural,plural,son,s,[MASK] constitucionalistas [MASK],"[CLS] , [MASK] , constitucional , ##istas , [MASK] , [SEP]",non_morphemic,6.501796217570817,-1.8190822755710485,1.8190822755712877
1871,1871,constitucionalista,constitucionalista##s,plur,3,artificial,0.0016408214578405,plural,plural,son,s,[MASK] constitucionalista##s [MASK],"[CLS] , [MASK] , constitucional , ##ista , ##s , [MASK] , [SEP]",non_morphemic,6.41255827362188,-1.5062327310381116,1.5062327310383379
1873,1873,vasco,vasco,sing,2,default,0.0002439731324557,plural,plural,son,s,[MASK] vasco [MASK],"[CLS] , [MASK] , vas , ##co , [MASK] , [SEP]",non_morphemic,8.31845245162033,2.43381838745967,-2.4338183874597252
1875,1875,vasco,vascos,plur,2,default,0.0061914715915918,plural,plural,son,s,[MASK] vascos [MASK],"[CLS] , [MASK] , vas , ##cos , [MASK] , [SEP]",non_morphemic,5.084582483611364,-2.7287850949896493,2.7287850949897456
1877,1877,vasco,vasco##s,plur,3,artificial,0.0092911506071686,plural,plural,son,s,[MASK] vasco##s [MASK],"[CLS] , [MASK] , vas , ##co , ##s , [MASK] , [SEP]",non_morphemic,4.678692879448027,-2.8167491957873505,2.8167491957874202
1879,1879,individualidad,individualidad,sing,2,default,0.0007689169142395,plural,plural,son,es,[MASK] individualidad [MASK],"[CLS] , [MASK] , individual , ##idad , [MASK] , [SEP]",non_morphemic,7.17052763819758,1.6334443218089332,-1.633444321808962
1881,1881,individualidad,individualidades,plur,2,default,0.0018075881525874,plural,plural,son,es,[MASK] individualidades [MASK],"[CLS] , [MASK] , individual , ##idades , [MASK] , [SEP]",non_morphemic,6.315761834671126,-1.6439237783507714,1.6439237783508514
1883,1883,individualidad,individualidad##es,plur,3,artificial,0.0071712271310389,plural,plural,son,es,[MASK] individualidad##es [MASK],"[CLS] , [MASK] , individual , ##idad , ##es , [MASK] , [SEP]",non_morphemic,4.937678491031643,-2.3548502890653396,2.3548502890654293
1885,1885,súbdito,súbdito,sing,2,default,0.0004158314841333,plural,plural,son,s,[MASK] súbdito [MASK],"[CLS] , [MASK] , súb , ##dito , [MASK] , [SEP]",non_morphemic,7.785230465990439,3.0311350873408296,-3.031135087341014
1887,1887,súbdito,súbditos,plur,2,default,0.0239553041756153,plural,plural,son,s,[MASK] súbditos [MASK],"[CLS] , [MASK] , súb , ##ditos , [MASK] , [SEP]",non_morphemic,3.731565510935336,-2.42096905660326,2.420969056603293
1889,1889,súbdito,súbdito##s,plur,3,artificial,0.0120995640754699,plural,plural,son,s,[MASK] súbdito##s [MASK],"[CLS] , [MASK] , súb , ##dito , ##s , [MASK] , [SEP]",non_morphemic,4.414585853849086,-2.1312427830297667,2.1312427830298137
1891,1891,llanta,llanta,sing,2,default,0.0002060595725197,plural,plural,son,s,[MASK] llanta [MASK],"[CLS] , [MASK] , llan , ##ta , [MASK] , [SEP]",non_morphemic,8.487345243992188,3.091596743302313,-3.091596743302467
1893,1893,llanta,llantas,plur,2,default,0.0031017407309263,plural,plural,son,s,[MASK] llantas [MASK],"[CLS] , [MASK] , llan , ##tas , [MASK] , [SEP]",non_morphemic,5.775791798982538,-1.03002062737606,1.0300206273760413
1895,1895,llanta,llanta##s,plur,3,artificial,0.0017300118925049,plural,plural,son,s,[MASK] llanta##s [MASK],"[CLS] , [MASK] , llan , ##ta , ##s , [MASK] , [SEP]",non_morphemic,6.359626996215736,-0.992274207502156,0.9922742075021801
1897,1897,parrilla,parrilla,sing,2,default,0.0002946036111097,plural,plural,son,s,[MASK] parrilla [MASK],"[CLS] , [MASK] , par , ##rilla , [MASK] , [SEP]",non_morphemic,8.129879796340203,1.8663969320869107,-1.866396932087125
1899,1899,parrilla,parrillas,plur,2,default,0.0056784795597195,plural,plural,son,s,[MASK] parrillas [MASK],"[CLS] , [MASK] , par , ##rillas , [MASK] , [SEP]",non_morphemic,5.17107176523057,-2.5757522455620503,2.5757522455622333
1901,1901,parrilla,parrilla##s,plur,3,artificial,0.0016751356888562,plural,plural,son,s,[MASK] parrilla##s [MASK],"[CLS] , [MASK] , par , ##rilla , ##s , [MASK] , [SEP]",non_morphemic,6.391861108713716,-2.2001591192421337,2.200159119242597
1903,1903,apuro,apuro,sing,2,default,0.0004962822422385,plural,plural,son,s,[MASK] apuro [MASK],"[CLS] , [MASK] , apur , ##o , [MASK] , [SEP]",non_morphemic,7.608365756308165,2.5294194747418555,-2.529419474741883
1905,1905,apuro,apuros,plur,2,default,0.0041844043880701,plural,plural,son,s,[MASK] apuros [MASK],"[CLS] , [MASK] , apur , ##os , [MASK] , [SEP]",non_morphemic,5.476390905821548,-0.5851607857228158,0.5851607857228298
